"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","CO02","CO03","DE02","DE02x01","DE03","DE03x01","DE08","DE09","DE09x01","DE10","TIME001","TIME002","TIME003","TIME005","TIME007","TIME009","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","avatar","slot","note","adjectif"
202,NA,NA,"Pre-Manip","interview",2026-01-21 21:07:44,1,1,1,"HUSA",1,"49",1,1,"AGENT D'ACCUEIL",2,35,7,62,11,626,73,814,NA,2026-01-21 21:21:20,"complete",1,0,9,9,0,0,0.64,"F_OW_W_D.mp4",1,24,"athletic"
202,NA,NA,"Pre-Manip","interview",2026-01-21 21:07:44,1,1,1,"HUSA",1,"49",1,1,"AGENT D'ACCUEIL",2,35,7,62,11,626,73,814,NA,2026-01-21 21:21:20,"complete",1,0,9,9,0,0,0.64,"F_OW_W_D.mp4",1,17,"average"
202,NA,NA,"Pre-Manip","interview",2026-01-21 21:07:44,1,1,1,"HUSA",1,"49",1,1,"AGENT D'ACCUEIL",2,35,7,62,11,626,73,814,NA,2026-01-21 21:21:20,"complete",1,0,9,9,0,0,0.64,"F_OW_W_D.mp4",1,101,"overweight"
202,NA,NA,"Pre-Manip","interview",2026-01-21 21:07:44,1,1,1,"HUSA",1,"49",1,1,"AGENT D'ACCUEIL",2,35,7,62,11,626,73,814,NA,2026-01-21 21:21:20,"complete",1,0,9,9,0,0,0.64,"F_OW_W_D.mp4",1,85,"obese"
202,NA,NA,"Pre-Manip","interview",2026-01-21 21:07:44,1,1,1,"HUSA",1,"49",1,1,"AGENT D'ACCUEIL",2,35,7,62,11,626,73,814,NA,2026-01-21 21:21:20,"complete",1,0,9,9,0,0,0.64,"F_OW_W_D.mp4",1,1,"thin"
202,NA,NA,"Pre-Manip","interview",2026-01-21 21:07:44,1,1,1,"HUSA",1,"49",1,1,"AGENT D'ACCUEIL",2,35,7,62,11,626,73,814,NA,2026-01-21 21:21:20,"complete",1,0,9,9,0,0,0.64,"F_OW_W_D.mp4",1,1,"skinny"
212,NA,NA,"Pre-Manip","interview",2026-01-21 21:29:15,1,1,1,"HALA",1,"21",1,1,"Sauveteuse en piscine",2,2,2,37,35,730,71,850,NA,2026-01-21 21:43:52,"complete",1,0,9,9,0,0,1.59,"F_AVG_W_D.mp4",1,24,"athletic"
212,NA,NA,"Pre-Manip","interview",2026-01-21 21:29:15,1,1,1,"HALA",1,"21",1,1,"Sauveteuse en piscine",2,2,2,37,35,730,71,850,NA,2026-01-21 21:43:52,"complete",1,0,9,9,0,0,1.59,"F_AVG_W_D.mp4",1,101,"average"
212,NA,NA,"Pre-Manip","interview",2026-01-21 21:29:15,1,1,1,"HALA",1,"21",1,1,"Sauveteuse en piscine",2,2,2,37,35,730,71,850,NA,2026-01-21 21:43:52,"complete",1,0,9,9,0,0,1.59,"F_AVG_W_D.mp4",1,35,"overweight"
212,NA,NA,"Pre-Manip","interview",2026-01-21 21:29:15,1,1,1,"HALA",1,"21",1,1,"Sauveteuse en piscine",2,2,2,37,35,730,71,850,NA,2026-01-21 21:43:52,"complete",1,0,9,9,0,0,1.59,"F_AVG_W_D.mp4",1,8,"obese"
212,NA,NA,"Pre-Manip","interview",2026-01-21 21:29:15,1,1,1,"HALA",1,"21",1,1,"Sauveteuse en piscine",2,2,2,37,35,730,71,850,NA,2026-01-21 21:43:52,"complete",1,0,9,9,0,0,1.59,"F_AVG_W_D.mp4",1,48,"thin"
212,NA,NA,"Pre-Manip","interview",2026-01-21 21:29:15,1,1,1,"HALA",1,"21",1,1,"Sauveteuse en piscine",2,2,2,37,35,730,71,850,NA,2026-01-21 21:43:52,"complete",1,0,9,9,0,0,1.59,"F_AVG_W_D.mp4",1,18,"skinny"
257,NA,NA,"Pre-Manip","interview",2026-01-31 00:37:31,1,1,1,"RIAN",1,"25",1,1,"Designer",2,20,20,41,2,338,57,478,NA,2026-01-31 00:45:29,"complete",1,0,9,9,0,0,1.22,"M_OW_W_D.mp4",1,38,"athletic"
257,NA,NA,"Pre-Manip","interview",2026-01-31 00:37:31,1,1,1,"RIAN",1,"25",1,1,"Designer",2,20,20,41,2,338,57,478,NA,2026-01-31 00:45:29,"complete",1,0,9,9,0,0,1.22,"M_OW_W_D.mp4",1,25,"average"
257,NA,NA,"Pre-Manip","interview",2026-01-31 00:37:31,1,1,1,"RIAN",1,"25",1,1,"Designer",2,20,20,41,2,338,57,478,NA,2026-01-31 00:45:29,"complete",1,0,9,9,0,0,1.22,"M_OW_W_D.mp4",1,63,"overweight"
257,NA,NA,"Pre-Manip","interview",2026-01-31 00:37:31,1,1,1,"RIAN",1,"25",1,1,"Designer",2,20,20,41,2,338,57,478,NA,2026-01-31 00:45:29,"complete",1,0,9,9,0,0,1.22,"M_OW_W_D.mp4",1,71,"obese"
257,NA,NA,"Pre-Manip","interview",2026-01-31 00:37:31,1,1,1,"RIAN",1,"25",1,1,"Designer",2,20,20,41,2,338,57,478,NA,2026-01-31 00:45:29,"complete",1,0,9,9,0,0,1.22,"M_OW_W_D.mp4",1,1,"thin"
257,NA,NA,"Pre-Manip","interview",2026-01-31 00:37:31,1,1,1,"RIAN",1,"25",1,1,"Designer",2,20,20,41,2,338,57,478,NA,2026-01-31 00:45:29,"complete",1,0,9,9,0,0,1.22,"M_OW_W_D.mp4",1,1,"skinny"
260,NA,NA,"Pre-Manip","interview",2026-01-31 23:09:54,1,1,1,"PRNA",1,"52",1,1,"Masseur Kinésithérapeute",2,2,3,75,15,716,111,922,NA,2026-01-31 23:25:16,"complete",1,0,9,9,0,0,1.39,"M_OBESE_W_D.mp4",1,5,"athletic"
260,NA,NA,"Pre-Manip","interview",2026-01-31 23:09:54,1,1,1,"PRNA",1,"52",1,1,"Masseur Kinésithérapeute",2,2,3,75,15,716,111,922,NA,2026-01-31 23:25:16,"complete",1,0,9,9,0,0,1.39,"M_OBESE_W_D.mp4",1,6,"average"
260,NA,NA,"Pre-Manip","interview",2026-01-31 23:09:54,1,1,1,"PRNA",1,"52",1,1,"Masseur Kinésithérapeute",2,2,3,75,15,716,111,922,NA,2026-01-31 23:25:16,"complete",1,0,9,9,0,0,1.39,"M_OBESE_W_D.mp4",1,78,"overweight"
260,NA,NA,"Pre-Manip","interview",2026-01-31 23:09:54,1,1,1,"PRNA",1,"52",1,1,"Masseur Kinésithérapeute",2,2,3,75,15,716,111,922,NA,2026-01-31 23:25:16,"complete",1,0,9,9,0,0,1.39,"M_OBESE_W_D.mp4",1,96,"obese"
260,NA,NA,"Pre-Manip","interview",2026-01-31 23:09:54,1,1,1,"PRNA",1,"52",1,1,"Masseur Kinésithérapeute",2,2,3,75,15,716,111,922,NA,2026-01-31 23:25:16,"complete",1,0,9,9,0,0,1.39,"M_OBESE_W_D.mp4",1,2,"thin"
260,NA,NA,"Pre-Manip","interview",2026-01-31 23:09:54,1,1,1,"PRNA",1,"52",1,1,"Masseur Kinésithérapeute",2,2,3,75,15,716,111,922,NA,2026-01-31 23:25:16,"complete",1,0,9,9,0,0,1.39,"M_OBESE_W_D.mp4",1,4,"skinny"
263,NA,NA,"Pre-Manip","interview",2026-02-01 14:46:34,1,1,1,"RALU",1,"20",1,1,"Étudiante",2,23,28,76,17,432,58,634,NA,2026-02-01 14:57:09,"complete",1,0,9,9,0,0,0.67,"F_OBESE_W_D.mp4",1,28,"athletic"
263,NA,NA,"Pre-Manip","interview",2026-02-01 14:46:34,1,1,1,"RALU",1,"20",1,1,"Étudiante",2,23,28,76,17,432,58,634,NA,2026-02-01 14:57:09,"complete",1,0,9,9,0,0,0.67,"F_OBESE_W_D.mp4",1,36,"average"
263,NA,NA,"Pre-Manip","interview",2026-02-01 14:46:34,1,1,1,"RALU",1,"20",1,1,"Étudiante",2,23,28,76,17,432,58,634,NA,2026-02-01 14:57:09,"complete",1,0,9,9,0,0,0.67,"F_OBESE_W_D.mp4",1,61,"overweight"
